Study,experimental_events,experimental_total,control_events,control_total, Cofactor,
Law 2005,24,1762,20,1955,18,
Lips 1996,135,1291,122,1287,27,
Lyons 2007,202,1725,209,1715,26,
Trivedi 2003,43,1345,62,1341,20.9,
Chapuy 1992,255,1176,308,1127,66,
Chapuy 2002,97,393,55,190,56.2,
Dawson-Hughes 1997,11,187,26,202,35.2,
Grant 2005,349,2649,341,2643,24,
Harwood 2004,8,114,5,37,20.5,
Jackson 2006,2102,18176,2158,18106,13.4,
Meyer 3003,69,569,76,575,17,
Pfeifer 2000,3,70,6,67,40.4,
Pfeifer 2009,9,121,16,121,29.1,
Salovaara 2010,78,1586,94,1609,24.6,
Sanders 2010,171,1131,135,1125,8,
